-0.46+0.256i	1.493+0.538i	1.051-0.306i	-0.863+0.189i	0.488+0.43i	0.625+1.245i	0.984+1.094i	1.049+1.893i	0.12+1.266i	0.826+1.618i	1.612+0.684i	-0.604+0.115i	1.775+0.908i	0.049-0.636i	-0.888+1.465i	1.73+0.635i	-0.541-0.697i	1.504+0.602i	-0.102+1.732i	0.445+0.058i
-0.851+2i	1.618+1.009i	1.8+1.77i	1.026+1.062i	-0.402+0.497i	0.763+0.691i	1.418+0.682i	0.164-0.692i	-0.196+1.579i	-0.584+1.077i	1.852-0.989i	-0.337+1.445i	1.42+1.134i	-0.378+1.025i	1.184+1.453i	1.336+1.144i	1.996+1.205i	-0.33-0.955i	0.88-0.35i	0.138+0.975i
1.32-0.162i	0.484+1.874i	0.061+0.827i	1.239-0.042i	1.785+0.839i	0.801+0.644i	1.565-0.589i	-0.242+0.98i	-0.618-0.061i	1.53+0.518i	0.741-0.881i	0.175+0.642i	0.83+0.887i	-0.722+1.79i	0.407+0.549i	1.895+1.136i	0.3+0.616i	0.861+1.166i	0.668+0.135i	1.92+0.306i
1.817+1.662i	-0.241+0.301i	-0.653+1.615i	0.323+0.301i	-0.112+1.577i	-0.375+1.798i	0.432+1.085i	1.706+1.485i	1.47+1.788i	0.335-0.013i	-0.462+1.486i	1.341-0.547i	1.114-0.928i	-0.467-0.154i	0.203+0.926i	0.421+1.735i	0.341+0.794i	0.16-0.867i	1.322+1.409i	1.703-0.549i
-0.081-0.101i	-0.631+1.06i	1.175+0.914i	-0.386+0.427i	1.205-0.92i	-0.511-0.237i	-0.76-0.59i	0.802-0.878i	0.929+1.504i	0.047+0.582i	1.465+1.8i	0.764+1.739i	0.065+1.833i	-0.866+1.233i	-0.492-0.38i	-0.009+0.792i	-0.607+1.373i	1.453+0.098i	-0.513+0.336i	-0.059+0.464i
0.247+1.364i	1.181+0.168i	0.331-0.311i	0.395+1.082i	1.514-0.794i	1.422+0.355i	0.714+0.994i	1.478+0.666i	0.295+0.271i	1.67+0.411i	1.368-0.768i	1.866+0.569i	0.895+1.811i	0.958+1.307i	0.916-0.911i	0.516-0.759i	0.322+0.653i	0.823+0.576i	1.671+1.348i	0.81+0.059i
-0.213+0.736i	1.648-0.819i	0.903+1.608i	0.105-0.297i	-0.774+0.973i	0.912+1.381i	1.637+1.274i	-0.765+0.972i	0.424-0.209i	-0.952+0.354i	0.307-0.101i	-0.444+1.765i	-0.71+0.479i	-0.288+1.164i	1.968+0.628i	1.643+1.316i	0.598-0.675i	-0.28-0.257i	1.298+0.199i	1.199-0.147i
1.342+0.151i	1.589+0.344i	-0.236+0.975i	0.092+0.846i	1.104+1.503i	1.96+1.32i	-0.046+0.624i	1.674+0.399i	-0.992+1.882i	-0.107-0.954i	-0.341+1.249i	-0.857+1.039i	1.198+0.525i	-0.283-0.437i	0.915+1.876i	0.578+1.593i	1.573+0.779i	1.508+1.23i	-0.989+1.511i	-0.63+1.348i
0.283+1.559i	-0.539+1.396i	1.243+0.507i	0.819+1.469i	0.021-0.924i	-0.755+1.241i	1.323-0.697i	-0.347+1.821i	1.795+0.246i	-0.115+0.488i	0.562+1.703i	1.892-0.764i	-0.542-0.62i	-0.636+0.334i	0.452-0.169i	0.314+0.764i	1.083+1.432i	-0.437+0.793i	-0.073-0.645i	1.649-0.828i
-0.248+0.98i	0.766+0.019i	0.434+0.311i	-0.978-0.049i	0.913+1.638i	0.687+0.208i	0.012+1.168i	1.267+0.225i	0.326-0.325i	0.617+1.787i	1.215-0.745i	0.244-0.133i	0.566-0.943i	-0.652+1.158i	0.351+1.145i	-0.661+0.953i	1.705+1.798i	-0.606+0.274i	-0.388-0.225i	1.476+0.735i
0.703-0.469i	0.819+1.392i	0.567+0.301i	1.744-0.314i	1.611-0.294i	-0.743+0.347i	1.128+1.491i	-0.588-0.705i	0.568+1.348i	1.413+1.269i	1.382-0.738i	-0.187-0.185i	-0.539-0.915i	-0.305-0.403i	1.234-0.439i	0.167-0.752i	1.113+1.652i	1.604-0.273i	0.253-0.682i	-0.574+1.883i
1.357+0.132i	0.862-0.79i	-0.536+1.401i	0.938+0.563i	0.878+1.274i	0.039+1.926i	-0.499+1.227i	-0.056+1.957i	1.147-0.812i	0.698-0.756i	1.834+1.035i	-0.409+0.091i	-0.832+1.953i	1.532-0.027i	0.015-0.857i	0.62-0.464i	-0.157-0.586i	-0.111+0.558i	1.066+0.246i	-0.617+1.188i
1.559-0.586i	0.39+1.187i	1.444+1.734i	1.965-0.834i	1.811-0.766i	1.871+1.758i	1.087-0.291i	-0.037+0.031i	-0.296-0.119i	0.342+0.493i	0.542-0.155i	1.137-0.558i	1.435+1.132i	0.925-0.977i	0.267+1.907i	1.21+0.988i	0.192+1.79i	0.46+0.957i	-0.679+1.29i	-0.006+0.34i
-0.691-0.879i	-0.513+1.061i	1.19-0.035i	0.497+0.362i	0.917+0.458i	-0.78+1.788i	-0.625-0.016i	1.86+0.707i	0.816+0.651i	-0.333+0.131i	-0.788-0.658i	0.657+0.22i	-0.712+0.136i	0.334+0.847i	-0.397-0.188i	0.164-0.901i	-0.167-0.001i	0.548-0.585i	1.299+0.091i	0.887+0.495i
