 0.993+0.655i	-0.25+0.674i	 0.605+1.385i	 0.062+0.311i	 0.151+0.72i	 1.961-0.213i	 0.976+1.464i	 0.358+0.768i	 0.033+1.439i	 1.208+1.612i	 1.875+0.93i	 1.796+1.469i	 1.156+1.387i	 1.139+0.507i	 0.197-0.669i	 1.522+1.336i	-0.942-0.159i	-0.896+0.301i	-0.379+0.185i	 1.462+0.142i
 1.039+1.334i	 1.579+1.593i	 0.099+0.277i	 1.519+0.97i	 1.08+1.38i	-0.747+1.467i	 0.458+1.466i	-0.292+1.431i	 1.697-0.553i	 0.203+0.101i	 0.254-0.207i	 0.687+1.629i	 1.464+0.29i	-0.212-0.946i	-0.134+0.337i	 1.819+0.124i	-0.834-0.717i	 0.812-0.347i	 0.017+1.921i	 1.81+0.764i
-0.395+1.683i	 1.293+0.089i	 0.518+1.63i	 1.536+0.73i	-0.764+1.318i	 1.367-0.638i	-0.211+1.68i	 1.061+1.767i	-0.22+1.451i	-0.19+1.289i	 1.664+1.718i	 1.227-0.465i	-0.309-0.626i	 0.79+0.848i	-0.612-0.468i	 0.581+1.09i	 1.602+1.163i	 1.67-0.55i	-0.334+0.074i	 0.259-0.296i
 0.689+1.2i	 1.144+1.881i	 0.393-0.313i	 1.453+1.118i	 1.153+1.133i	-0.47-0.353i	 0.94+1.367i	-0.424+1.865i	 1.039-0.612i	 1.497-0.011i	 1.871-0.857i	-0.929+1.64i	 0.235-0.353i	 0.273+1.261i	 1.201+1.559i	-0.338-0.514i	 1.806+1.281i	-0.641+0.71i	 0.861+1.727i	-0.917-0.096i
-0.006+0.389i	 0.694+1.844i	 0.723+1.261i	 1.77+1.883i	-0.038-0.51i	 1.914+1.927i	 0.061+0.597i	-0.769+0.696i	 0.555-0.651i	 1.606+0.124i	-0.517-0.294i	-0.011+0.53i	 0.15+0.041i	 1.338+0.502i	-0.208+1.631i	-0.49+0.636i	 1.856+0.03i	 0.387-0.834i	 0.632+0.901i	 0.07+0.681i
 0.378-0.063i	-0.87-0.274i	 0.539-0.024i	 1.837+1.895i	-0.195+1.922i	 1.463+0.259i	 1.481+1.62i	 1.861+1.157i	 1.339+1.935i	 1.46+1.043i	-0.346+1.241i	 1.445+1.466i	 1.6+0.275i	 1.279+1.032i	-0.845-0.109i	 1.07+0.873i	 0.933+0.122i	-0.792-0.152i	 0.885+1.548i	 1.461+1.179i
-0.688+1.361i	-0.46-0.627i	 1.497+1.428i	 0.793-0.907i	 0.019+0.931i	 1.645-0.367i	 0.286-0.266i	 0.283-0.62i	 1.612-0.199i	-0.827+0.735i	-0.454-0.438i	 0.783+0.466i	 1.392-0.753i	 1.115+0.241i	-0.299+1.375i	 1.515-0.75i	 1.885+1.713i	-0.057+0.202i	-0.361+1.9i	 0.101+0.32i
-0.753-0.882i	-0.974+0.535i	 0.367-0.165i	 1.44-0.036i	 0.292-0.658i	 0.456-0.637i	 1.223+0.675i	 1.587-0.014i	-0.283+1.537i	 1.659-0.218i	-0.051+1.306i	 1.868-0.892i	 1.178+0.779i	 1.887+0.898i	 0.832+1.157i	 0.88+1.916i	-0.958-0.238i	 1.972-0.015i	 0.026+1.434i	-0.102+0.039i
 0.033+1.41i	-0.259+1.768i	 1.612+0.951i	 0.44+0.276i	 1.486+0.67i	 1.753-0.814i	 1.128+1.871i	 0.221-0.283i	 1.494+0.855i	 0.978+0.08i	 0.838-0.439i	-0.612+0.475i	-0.972+1.019i	-0.517-0.011i	 0.139-0.465i	-0.853-0.148i	 1.182+0.314i	 0.582+1.018i	-0.452+0.56i	-0.819+1.614i
-0.515+0.466i	 1.067+1.071i	-0.804+1.802i	 1.637-0.68i	 0.108+0.863i	 1.385-0.202i	-0.749-0.306i	 0.278+1.497i	 1.255+1.713i	-0.775+1.047i	-0.414+1.359i	 1.229+0.78i	 1.228+1.431i	-0.377-0.057i	-0.441+1.664i	 1.047-0.633i	-0.713+0.57i	 1.594+0.998i	 1.339+1.825i	 0.497+0.307i
 1.03+0.549i	 1.945+1.733i	-0.001+0.938i	-0.964+1.459i	 0.838+0.257i	-0.87+1.911i	 1.784+0.002i	 1.623+0.086i	 0.64+1.945i	-0.392-0.534i	 1.071+1.355i	 1.673+1.714i	-0.517+0.231i	 1.776-0.947i	-0.888+0.131i	 1.014-0.705i	 0.556+1.099i	-0.509+1.588i	 1.157-0.379i	 0.336+0.661i
 0.646-0.878i	 1.268-0.179i	 1.732-0.366i	 1.648+0.848i	 1.051-0.356i	 1.104-0.567i	 0.926+1.868i	-0.771+0.796i	 1.343+0.945i	 1.003+0.15i	 0.188+1.416i	 0.084+1.236i	 1.756+0.633i	 0.332-0.65i	 1.261-0.219i	-0.087+1.688i	 0.069+0.105i	 1.931+1.345i	 1.987+0.604i	 0.36+1.143i
 1.775+0.578i	 0.324-0.688i	 1.579+0.056i	-0.067+0.236i	 1.943-0.281i	 0.17+0.019i	 1.285-0.909i	-0.242+1.93i	-0.057+1.58i	 1.496-0.115i	 0.892+1.526i	 0.814-0.352i	 1.585-0.252i	 0.648+0.672i	 1.851+1.658i	 0.108+1.209i	 0.776+1.224i	 0.468-0.494i	-0.458+0.233i	 1.754+0.3i
